id;sku;oryginal_url;new_sku;new_ean;new_oryginal_price;new_oryginal_url
130;HGS55378621;https://www.hygiene-shop.com/abfalleimer-muelleimer/brabantia-edelstahl-papierkorb-flammenloeschend-30-liter-offen-edelstahl-matt-gebuerstet;HGS55378621;8710755378621;140.80;https://www.hygiene-shop.com/abfalleimer-muelleimer/brabantia-edelstahl-papierkorb-flammenloeschend-30-liter-offen-edelstahl-matt-gebuerstet
132;HGS3182;https://www.hygiene-shop.com/abfalleimer-muelleimer/var-papierkorb-feuersicher-110-liter-offen-schwarz;HGS3182;4030695031825;189.92;https://www.hygiene-shop.com/abfalleimer-muelleimer/var-papierkorb-feuersicher-110-liter-offen-schwarz
134;HGS3181;https://www.hygiene-shop.com/abfalleimer-muelleimer/var-papierkorb-feuersicher-110-liter-offen-blau;HGS3181;4030695031818;189.92;https://www.hygiene-shop.com/abfalleimer-muelleimer/var-papierkorb-feuersicher-110-liter-offen-blau
135;HGS3183;https://www.hygiene-shop.com/abfalleimer-muelleimer/var-papierkorb-feuersicher-110-liter-offen-grau;HGS3183;4030695031832;189.92;https://www.hygiene-shop.com/abfalleimer-muelleimer/var-papierkorb-feuersicher-110-liter-offen-grau
136;HGS3185;https://www.hygiene-shop.com/abfalleimer-muelleimer/var-papierkorb-feuersicher-110-liter-offen-edelstahl-1-stueck;HGS3184;4030695031849;378.99;https://www.hygiene-shop.com/abfalleimer-muelleimer/var-papierkorb-feuersicher-110-liter-offen-edelstahl-1-stueck
137;HGS3186;https://www.hygiene-shop.com/abfalleimer-muelleimer/var-papierkorb-feuersicher-110-liter-offen-weiss;HGS3186;4030695031863;189.92;https://www.hygiene-shop.com/abfalleimer-muelleimer/var-papierkorb-feuersicher-110-liter-offen-weiss
140;HGS31005192;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-80-liter-offen-schwarz;HGS31005192;8713631005192;119.61;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-80-liter-offen-schwarz
141;HGS31002030;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-80-liter-offen-grau;HGS31002030;8713631002030;119.61;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-80-liter-offen-grau
143;HGS31009480;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-80-liter-offen-aluminium-schwarz;HGS31009480;8713631009480;119.61;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-80-liter-offen-aluminium-schwarz
145;HGS31025350;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-80-liter-offen-blau-schwarz;HGS31025350;8713631025350;119.61;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-80-liter-offen-blau-schwarz
